Model,Accuracy,Precision,Recall,F1
Logisticka regresija,0.9309309309309309,0.7169811320754716,0.8260869565217391,0.7676767676767676
Random Forest,0.8888888888888888,0.5652173913043478,0.8478260869565217,0.6782608695652174
